loss,learning_rate,epoch,step,eval_loss,eval_precision,eval_recall,eval_f1,eval_accuracy,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
0.1251,1.23e-05,1.03,123,,,,,,,,,,,,,
0.1502,1.24e-05,1.04,124,,,,,,,,,,,,,
0.1527,1.25e-05,1.05,125,,,,,,,,,,,,,
0.1186,1.2600000000000001e-05,1.06,126,,,,,,,,,,,,,
0.1433,1.27e-05,1.07,127,,,,,,,,,,,,,
0.1405,1.2800000000000001e-05,1.08,128,,,,,,,,,,,,,
0.1323,1.29e-05,1.08,129,,,,,,,,,,,,,
0.1556,1.3000000000000001e-05,1.09,130,,,,,,,,,,,,,
0.1473,1.3100000000000002e-05,1.1,131,,,,,,,,,,,,,
0.1418,1.32e-05,1.11,132,,,,,,,,,,,,,
0.1298,1.3300000000000001e-05,1.12,133,,,,,,,,,,,,,
0.1266,1.3400000000000002e-05,1.13,134,,,,,,,,,,,,,
0.1097,1.3500000000000001e-05,1.13,135,,,,,,,,,,,,,
0.1335,1.3600000000000002e-05,1.14,136,,,,,,,,,,,,,
0.1033,1.3700000000000001e-05,1.15,137,,,,,,,,,,,,,
0.1033,1.3800000000000002e-05,1.16,138,,,,,,,,,,,,,
0.1254,1.3900000000000002e-05,1.17,139,,,,,,,,,,,,,
0.1558,1.4000000000000001e-05,1.18,140,,,,,,,,,,,,,
0.0925,1.4099999999999999e-05,1.18,141,,,,,,,,,,,,,
0.14,1.42e-05,1.19,142,,,,,,,,,,,,,
0.1268,1.43e-05,1.2,143,,,,,,,,,,,,,
0.1413,1.44e-05,1.21,144,,,,,,,,,,,,,
0.1358,1.45e-05,1.22,145,,,,,,,,,,,,,
0.1362,1.4599999999999999e-05,1.23,146,,,,,,,,,,,,,
0.1119,1.47e-05,1.24,147,,,,,,,,,,,,,
0.109,1.48e-05,1.24,148,,,,,,,,,,,,,
0.1168,1.49e-05,1.25,149,,,,,,,,,,,,,
0.1321,1.5e-05,1.26,150,,,,,,,,,,,,,
0.1062,1.51e-05,1.27,151,,,,,,,,,,,,,
0.0912,1.52e-05,1.28,152,,,,,,,,,,,,,
0.1083,1.53e-05,1.29,153,,,,,,,,,,,,,
0.1175,1.54e-05,1.29,154,,,,,,,,,,,,,
0.1165,1.55e-05,1.3,155,,,,,,,,,,,,,
0.122,1.56e-05,1.31,156,,,,,,,,,,,,,
0.0921,1.5700000000000002e-05,1.32,157,,,,,,,,,,,,,
0.1108,1.58e-05,1.33,158,,,,,,,,,,,,,
0.1003,1.59e-05,1.34,159,,,,,,,,,,,,,
0.1261,1.6000000000000003e-05,1.34,160,,,,,,,,,,,,,
0.1089,1.6100000000000002e-05,1.35,161,,,,,,,,,,,,,
0.1058,1.62e-05,1.36,162,,,,,,,,,,,,,
0.1512,1.63e-05,1.37,163,,,,,,,,,,,,,
0.0758,1.6400000000000002e-05,1.38,164,,,,,,,,,,,,,
0.0697,1.65e-05,1.39,165,,,,,,,,,,,,,
0.1215,1.66e-05,1.39,166,,,,,,,,,,,,,
0.1102,1.6700000000000003e-05,1.4,167,,,,,,,,,,,,,
0.1007,1.6800000000000002e-05,1.41,168,,,,,,,,,,,,,
0.1208,1.69e-05,1.42,169,,,,,,,,,,,,,
0.1101,1.7000000000000003e-05,1.43,170,,,,,,,,,,,,,
0.1136,1.7100000000000002e-05,1.44,171,,,,,,,,,,,,,
0.0947,1.7199999999999998e-05,1.45,172,,,,,,,,,,,,,
0.0887,1.73e-05,1.45,173,,,,,,,,,,,,,
0.0885,1.74e-05,1.46,174,,,,,,,,,,,,,
0.1005,1.75e-05,1.47,175,,,,,,,,,,,,,
0.0943,1.76e-05,1.48,176,,,,,,,,,,,,,
0.1374,1.77e-05,1.49,177,,,,,,,,,,,,,
0.1129,1.78e-05,1.5,178,,,,,,,,,,,,,
0.0641,1.79e-05,1.5,179,,,,,,,,,,,,,
0.0957,1.8e-05,1.51,180,,,,,,,,,,,,,
0.0582,1.81e-05,1.52,181,,,,,,,,,,,,,
0.0748,1.8200000000000002e-05,1.53,182,,,,,,,,,,,,,
0.0933,1.83e-05,1.54,183,,,,,,,,,,,,,
0.0683,1.84e-05,1.55,184,,,,,,,,,,,,,
0.0632,1.85e-05,1.55,185,,,,,,,,,,,,,
0.0815,1.86e-05,1.56,186,,,,,,,,,,,,,
0.1019,1.87e-05,1.57,187,,,,,,,,,,,,,
0.0718,1.88e-05,1.58,188,,,,,,,,,,,,,
0.0468,1.8900000000000002e-05,1.59,189,,,,,,,,,,,,,
0.063,1.9e-05,1.6,190,,,,,,,,,,,,,
0.0843,1.91e-05,1.61,191,,,,,,,,,,,,,
0.0836,1.9200000000000003e-05,1.61,192,,,,,,,,,,,,,
0.106,1.93e-05,1.62,193,,,,,,,,,,,,,
0.0714,1.94e-05,1.63,194,,,,,,,,,,,,,
0.0663,1.9500000000000003e-05,1.64,195,,,,,,,,,,,,,
